,acousticness,instrumentalness,key,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Emotion
0,0.14,7.79e-06,1,0.785,0.86,7.79e-06,1,0.107,-6.228,1,0.158,97.893,4,0.78,0
1,0.122,0.0,9,0.7,0.714,0.0,9,0.0428,-6.295,0,0.104,99.909,4,0.458,0
2,0.0571,0.0,0,0.419,0.655,0.0,0,0.0962,-6.679,1,0.247,76.835,3,0.353,0
3,0.168,3.36e-06,7,0.675,0.595,3.36e-06,7,0.136,-7.033,1,0.284,185.998,4,0.491,0
4,0.0102,0.0219,2,0.833,0.434,0.0219,2,0.165,-8.795,1,0.431,150.062,4,0.281,0
5,0.0772,0.0,9,0.448,0.738,0.0,9,0.295,-4.202,0,0.306,85.06,4,0.65,0
6,0.098,0.0,0,0.485,0.777,0.0,0,0.844,-5.39,1,0.286,169.219,4,0.35,0
7,0.0287,0.0,8,0.613,0.681,0.0,8,0.126,-3.089,1,0.0778,97.621,4,0.619,0
8,0.0994,0.0,2,0.715,0.468,0.0,2,0.125,-7.664,0,0.147,194.902,3,0.673,0
9,0.0062,0.0,11,0.748,0.733,0.0,11,0.329,-4.421,0,0.072,93.019,4,0.291,0
10,0.0724,0.201,11,0.564,0.686,0.201,11,0.0959,-8.395,0,0.11,165.538,4,0.275,0
11,0.105,7.27e-06,6,0.86,0.676,7.27e-06,6,0.0507,-5.312,1,0.0629,84.992,4,0.892,0
12,0.0261,0.0,11,0.726,0.588,0.0,11,0.339,-8.998,0,0.25,87.027,4,0.606,0
13,0.0115,0.000177,2,0.752,0.602,0.000177,2,0.143,-6.54,1,0.14,142.203,4,0.588,0
14,0.499,0.0,5,0.717,0.499,0.0,5,0.071,-7.123,1,0.0478,81.995,4,0.541,0
15,0.0529,0.0,1,0.83,0.424,0.0,1,0.329,-6.918,1,0.11,93.016,4,0.207,0
16,0.0196,1.72e-06,1,0.761,0.886,1.72e-06,1,0.236,-5.322,1,0.0627,121.91,4,0.89,0
17,0.0242,0.0,9,0.854,0.766,0.0,9,0.0793,-4.697,0,0.141,118.004,4,0.784,0
18,0.0437,0.0,1,0.483,0.894,0.0,1,0.33,-6.029,1,0.371,89.932,4,0.679,0
19,0.00396,0.0,6,0.524,0.796,0.0,6,0.669,-9.215,0,0.315,82.363,3,0.646,0
20,0.0267,0.0,9,0.634,0.854,0.0,9,0.28,-3.667,0,0.344,86.272,4,0.597,0
21,0.261,7.16e-06,11,0.797,0.627,7.16e-06,11,0.191,-5.815,1,0.194,88.048,4,0.67,0
22,0.0623,1.5e-06,1,0.84,0.835,1.5e-06,1,0.106,-3.351,0,0.0838,109.991,4,0.858,0
23,0.114,1.71e-06,7,0.934,0.649,1.71e-06,7,0.0807,-6.465,1,0.266,97.026,4,0.685,0
24,0.299,0.0,10,0.63,0.773,0.0,10,0.416,-4.699,0,0.226,92.548,4,0.656,0
25,0.272,0.0,1,0.587,0.836,0.0,1,0.144,-6.156,1,0.0785,92.307,4,0.646,0
26,0.505,0.00494,4,0.923,0.183,0.00494,4,0.109,-12.879,1,0.398,104.279,4,0.186,0
27,0.0545,0.0,6,0.755,0.541,0.0,6,0.159,-5.889,0,0.107,152.395,4,0.588,0
28,0.13,0.0,4,0.673,0.698,0.0,4,0.3,-6.072,0,0.159,90.963,4,0.389,0
29,0.178,0.0,2,0.555,0.533,0.0,2,0.935,-9.269,0,0.0471,134.031,4,0.426,0
30,0.0609,0.0,2,0.837,0.545,0.0,2,0.333,-6.167,1,0.268,130.036,4,0.333,0
31,0.115,3.87e-06,10,0.773,0.652,3.87e-06,10,0.458,-5.402,0,0.36,78.253,4,0.773,0
