Sentiment,Text
sad,Layin n bed with a headache  ughhhh...waitin on your call...
sad,Funeral ceremony...gloomy friday...
excited,wants to hang out with friends SOON!
relaxed," We want to trade with someone who has Houston tickets, but no one will."
sad,Re-pinging : why didn't you go to prom? BC my bf didn't like my friends
sad,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!"
sad,Hmmm. http://www.djhero.com/ is down
sad, Charlene my love. I miss you
sad, I'm sorry  at least it's Friday?
relaxed,cant fall asleep
sad,Choked on her retainers
sad,Ugh! I have to beat this stupid song to get to the next  rude!
sad, if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol
excited,Got the news
sad,The storm is here and the electricity is gone
happy, agreed
sad,So sleepy again and it's not even that late. I fail once again.
sad, lady gaga tweeted about not being impressed by her video leaking just so you know
sad,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend
sad, oh too bad! I hope it gets better. I've been having sleep issues lately too
excited,"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore"
relaxed,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via ) 
sad,I ate Something I don't know what it is... Why do I keep Telling things about food
sad,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.
sad,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old
sad,"  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!"
sad,Damm servers still down  i need to hit 80 before all the koxpers pass me
sad,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!
sad,I HATE CANCER. I HATE IT I HATE IT I HATE IT.
excited,It is so annoying when she starts typing on her computer in the middle of the night!
relaxed,_123 i cant sleep
relaxed,I missed the bl***y bus!!!!!!!!
relaxed,feels strong contractions but wants to go out.  http://plurk.com/p/wxidk
relaxed,SoCal!  stoked. or maybe not.. tomorrow
relaxed,Screw you ! I only have 3 weeks...
sad,_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?
sad,I need skott right now
relaxed,has work this afternoon
relaxed, Aw you would not unfollow me would you? Then I would cry
happy,mmm much better day... so far! it's still quite early. last day of 
excited, &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform
sad,just picked up her Blackberry from the middle of the street! Both she and it are crushed!
sad,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...
relaxed, middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken
sad,"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now"
sad," Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also"
sad,I'm having a problem with my photo here in twitter amf!!!...can't see my face!
relaxed,", oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke."
relaxed,wnna take a bath!!!!
relaxed,Chocolate milk is so much better through a straw. I lack said straw
sad,why am i so tired?
