Sentiment,Text
excited,wants to hang out with friends SOON!
relaxed, We want to trade with someone who has Houston tickets  but no one will.
sad, Charlene my love. I miss you
relaxed,cant fall asleep
sad,Choked on her retainers
sad,Ugh! I have to beat this stupid song to get to the next  rude!
excited,Got the news
sad,The storm is here and the electricity is gone
happy, agreed
sad,So sleepy again and it's not even that late. I fail once again.
sad, lady gaga tweeted about not being impressed by her video leaking just so you know
sad, oh too bad! I hope it gets better. I've been having sleep issues lately too
sad,I HATE CANCER. I HATE IT I HATE IT I HATE IT.
excited,It is so annoying when she starts typing on her computer in the middle of the night!
relaxed,_123 i cant sleep
relaxed,feels strong contractions but wants to go out.  
relaxed,Screw you ! I only have 3 weeks...
relaxed,has work this afternoon
sad,just picked up her Blackberry from the middle of the street! Both she and it are crushed!
relaxed, middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken
relaxed,Chocolate milk is so much better through a straw. I lack said straw
sad,why am i so tired?
sad,sucks not being able to take days off of work or have the money to take the trip  so sad
relaxed, the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope
relaxed,At home alone with not much to do
relaxed,Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.
sad,  i was just thinking about how excited i am for you guys to move  but then i realized how sad i am to see you go.
sad, i am jealous of your mom talking to . i want to see you all our twittering is making me miss you
relaxed, what's going on sweetheart?
sad,First ever dropped call on my mobile. On a call to  no less! ( being charged for data even though I have a data pack  )
relaxed,Oh is that time for real?
sad,Oh no one minute too late! Oh well
excited,_star Damn  that sucks
excited, THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up
sad,is up with a nasty cough i cant be sick i have a huge weekend ahead of me
relaxed,  That was stone cold   Crazy....  ?
relaxed, I second that. I wish it rained more where I am
relaxed,damn it were is Eric or anyone else when you need your hair to be played with
relaxed,Well it almost was a good day... Guess I just retry tomorrow
sad, He died.  Wait  what about Magic Jack? I just read it.
sad,wonders why her Karma points turned into 0.00.  
sad,$#@! My nose stud fell out and I can't find it  Looks like I'll have to head into Amsterdam today and get a new one
sad,Now I am depressed after watching so you think you can dance
relaxed,miss 16'th
relaxed, I know. But like I said  I have no idea how long it takes for them to investigate this stuff.
relaxed,  - Awe! I miss my baby
relaxed, just answered you- never learned how to write in French- just basic stuff-
relaxed,what is it with chocolates? i just can never say no
sad, i cant do anything
relaxed,still needs another 6 hours of sleep
sad,My head hurts so bad I could scream!
sad,New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice
sad,my sole supporter is not my sole supporter
sad,is still missing her husband.    I really want him home.
sad,I miss my puppy
sad, yearling in pet home died... very sad for their whole family
sad,is feeling sad... for some reason..  
relaxed, Hi...!!! Who is Mary Poppins???
relaxed,  I was watching Parental Control
sad, it wont let me
sad,but now i have no money for a phone
sad,Too bad the Red Devils.. disappointing to say the least
excited,I had a dream about a pretty pretty beach and there was no beach when I woke up
sad,why are plane tickets so expensive
sad,Needs a job BADLY!!!
sad,Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  
sad,is a bad friend
happy, i missed the game
sad, - Still a pity it comes with no lamb though
excited,I hate Bakersfield and I hate the Ports  let me go home already.  I want to start my vacation.
relaxed, what about me
sad,people in my house do not know how to close doors
sad,Had to cancel wow for now
relaxed, yeah  it's terrible  cockatoos are the hardest to live with  so emotional. good thing he found you  though!!
sad,sometimes i wish things could go back to the way they were the beginning of last summer
happy,I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already  gonna do 20 minutes more
sad,Work day 7 of 7 
relaxed,Come on Knight... It's been well over 4 hours
excited, aw u can't let me in on the secret!
excited,my gap year is going so quick
sad,my twitter has been hacked again
relaxed, i wont have time to buy  and i need a new binder pa
relaxed,_oats this is happening to me too
sad,Okay  so twitter suddenly changed  how do I respond to messages now
sad,  YEA     I GOTTA BE UP AT 7:30
sad,sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend
relaxed,Not one sale done today at work. Explored balconies in the big theater w coworkers. A fun day  but void of chili fries and tips
sad,  I wish I had Left 4 Dead. But first I'd need something to play it on...
relaxed, me too
relaxed, that story reminds of living in Portugal
happy,I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.
excited,my roommate _tickle loves to ignore me
relaxed,  I'll make him nachos tomorrow. Better than if he would have made them himself.
sad,my teeth and head hurts
sad,Waiting in line @ tryst
sad,no more arrested development. i am sad.
sad,I feel so deflated. No more doggy.
sad,_rain i wanna see her hair  hows everyone?
sad,I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8 000 pictures are GONE.
relaxed,0
sad,why did i agree to work a double shift
sad,looks like i'll never go to the zoo
sad, bad times?
sad,Lady across the way had a miscarriage  say a prayer
sad,God I just want to sleep.
sad,I feel so deflated. No more doggy.
sad,is feeling bad  just got bad news about my Mum
sad, But but I dun wanna
relaxed, thats what i was thinking but the only time it's gonna be on is 1 am!
relaxed,Peeps still here. Fun times. Gotta sleep tho. Work in the A.M. Some cool  hot chicks here. But none as cool as ____________. Missing her
relaxed,Counting the hours of lost sunshine until the Weekend
relaxed,is home.  safely... but hungry
sad, Did you know that there is a shortage of shells for crabs to use on the beach due to beach combers? It is very sad
happy, Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!
relaxed,Ready To Go @ School
sad,It's a sad economy. Just heard of another friend losing their job.  so sad. But just a reminder that...
relaxed,just finished 8 hours of Texas Life Insurance CE tonight  22 more hours to go
relaxed, what happen to the maids of yours? Quit once again? ...
sad, oh how i wish you would get her to sign something then send it to me or let me call you when you meet or something
sad,Morning everyone sorry for going early last night had bad news  felt totally crap   Today is a new day
relaxed,went to the beach and it started raining
relaxed,  Yeah  physically moving too!  Apparently we'll be reporting directly to Mr. Hayward...
excited,So  I need to make a lot of money tomorrow
sad,  being in your room makes me sad.
relaxed,for the gays i only made 200 tonight
sad,if one people did any wrong  the world blames all the people over there  this is the great world which we are living in!  Shit!
sad, sorry bout the cat 
relaxed,needs to have an increase on her salary  
happy,Pug just woke me from an incredible sleep!
sad,missed iron chef
sad,what a bad day
sad,is feeling so giddy and wanna go home.
sad,Up and packing. Its the last day of youth camp
sad,Somebody please save the polar bears!
excited, Not really sleepy ...bored is the right word ... again not much work
sad, reminds me of the weather a month ago it was horrible  I hope all is well hugs
relaxed,_d No  it's not...
sad, i feel the same way every day
sad,Can't sleep. Sucks. The one day i have to sleep in and i have to get up and go shopping with mom. Ugh.
sad,So have a headache right now and it sucks
sad,damn being drunk and hot sucks
sad,misses my baby.
sad,is not sleeping because he has paperwork to do.
sad,midnight cry.. wish the person I wanted  wanted me right now
sad,Went to pole class. Feeling discouraged. I am hopeless when it cones to dancing or sexy moves or spreading my legs.
sad,  If I told you how often I wash my hair you would never speak to me again
sad,Looks like another sleepless night dedicated to homework. Sorry in advance  Ms. Chapman.
sad,  -  WHY DO U LOT MOCK ME!!!
sad,has work tom.
sad,is really  really bored... I guess I will go to bed
sad,Sometimes the things you say hurt the ones you love most unintentionally.  And you can never ever take it back or fix it.
sad,_ that sucks!
sad,Taking Horse Pills  hoping I can get some sleep tonight
sad,missing ...6 days can't pass quick enough
excited, Hey! That's my school! I hate that place.
relaxed,back to work.. with no distractions..
sad,Looks like it's going to be too nice to work today  how annoying as I have no choice
relaxed, did you guys keep a set list? I forgot to ask for one  xx
sad,Missing you all deeply
relaxed,the time you go to bed   i have to get up to go to work
sad,Somebody please save the polar bears!
sad,My nose is runny  my head is pounding  and teeth hurt like a bitch. MAN. @-) I feel awful.  =((
happy,good lord  just seen the agency work for our upcoming Open Day. Money for Jam
sad, I wish I was there
relaxed,seriously bored without anyone to talk to... but not tired enough for sleep
sad,morning again! I hate mornings. So offensive!
sad,bed bed bed  do you never answer texts anymore?  I thought of you the other day and sent one but never heard back. Sad day
relaxed,where u at?
excited,one week till exam block
sad,Already misses 
relaxed, Random has an a
relaxed,Wearing glasses gives me a headache.
sad,First my work computer  now my home laptop is fucked.
sad, I know. We came back from 22 down in the 1st just to lose the lead in the last 6 minutes.
sad, - your twitter is broken
sad,i hate being sick. i miss   and 
happy,Getting ready for school - second maths test today  also its my last day of 3rd year!! Next week i will officially be in 4th year
sad,Woke Up I Wanna Stay In My bed
sad, Oh come on!!! You get next week off and I get next week full of exams!
excited,I cant use my blackberry today. This sucks.
relaxed,the times they are a changing
sad, why do you hate me!?
relaxed, video is not available to us foreigners
sad, - Wanted to visit the animals but we were too late
